価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
1480,82.32,北海道札幌市北区百合が原７-1-7,17.53,ＪＲ札沼線「百合が原」徒歩5分,3LDK,2005/11,0,0,1,5,,,
1480,73.73,北海道札幌市西区発寒十一条１,10.9,ＪＲ函館本線「発寒中央」徒歩10分,3LDK,1995/5,0,0,1,10,,,
1480,52.8,北海道札幌市中央区大通西１５,7.68,地下鉄東西線「西１８丁目」徒歩5分,2LDK,1981/10,1,0,0,5,,,
1480,96.47,北海道札幌市厚別区厚別東三条７,17.71,ＪＲ函館本線「森林公園」徒歩14分,3LDK+S（納戸）,1992/6,0,0,1,14,,,
1480,63.86,北海道札幌市豊平区中の島一条１-5-18,8.9,地下鉄南北線「中の島」徒歩2分,3LDK,1977/11,1,0,0,2,,,
1480,72.18,北海道札幌市中央区南二十一条西１３,7.11,札幌市電「中央図書館前」徒歩2分,3LDK,1990/12,0,1,0,2,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」バス6分停歩2分,4LDK,1993/10,1,0,0,,6,2,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」徒歩18分,4LDK,1993/10,1,0,0,18,,,
1480,89.31,北海道札幌市中央区南十条西２２-2-10,8.81,札幌市電「西線１１条」徒歩13分,3LDK,1984/6,0,1,0,13,,,
1480,78.99,北海道札幌市中央区宮の森三条７,4.55,地下鉄東西線「西２８丁目」徒歩9分,3LDK,1974/6,1,0,0,9,,,
1480,88.22,北海道札幌市中央区宮の森二条１６,11.75,地下鉄東西線「円山公園」バス10分停歩1分,4LDK,1996/2,1,0,0,,10,1,
1480,76.92,北海道札幌市厚別区上野幌三条５,8.74,地下鉄東西線「新さっぽろ」バス15分停歩3分,3LDK,1995/10,1,0,0,,15,3,
1480,78.44,北海道札幌市西区二十四軒四条３-4-35,-,地下鉄東西線「琴似」徒歩4分,3LDK,1974/5,1,0,0,4,,,
1480,74.46,北海道札幌市豊平区平岸二条８-２－６,8.77,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1480,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩1分,3LDK,1978/11,1,0,0,1,,,
1480,96.47,北海道札幌市厚別区厚別東三条７,17.71,ＪＲ函館本線「森林公園」徒歩14分,3LDK+S（納戸）,1992/6,0,0,1,14,,,
1480,96.47,北海道札幌市厚別区厚別東三条７-６－１,17.71,ＪＲ函館本線「森林公園」徒歩14分,3LDK,1992/6,0,0,1,14,,,
1480,81.81,北海道札幌市東区北三十九条東１,12.64,地下鉄南北線「麻生」徒歩11分,4LDK,1987/10,1,0,0,11,,,
1480,52.8,北海道札幌市中央区大通西１５-１－１９,7.68,地下鉄東西線「西１８丁目」徒歩5分,2LDK,1982/10,1,0,0,5,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」バス6分停歩2分,4LDK,1993/10,1,0,0,,6,2,
1480,96.47,北海道札幌市厚別区厚別東三条７,17.71,ＪＲ函館本線「森林公園」徒歩14分,3LDK,1992/6,0,0,1,14,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」バス6分停歩2分,4LDK,1993/10,1,0,0,,6,2,
1480,68.49,北海道札幌市東区北三十六条東１７,6.54,地下鉄東豊線「新道東」徒歩6分,3LDK,1989/11,1,0,0,6,,,
1480,73.3,北海道札幌市東区東苗穂四条２,12.99,地下鉄東豊線「元町」バス10分停歩1分,3LDK,1990/10,1,0,0,,10,1,
1480,90.42,北海道札幌市中央区北五条西２９,-,地下鉄東西線「西２８丁目」徒歩2分,2LDK,1974/9,1,0,0,2,,,
1480,63.8,北海道札幌市豊平区中の島一条１,8.9,地下鉄南北線「中の島」徒歩4分,3LDK,1977/11,1,0,0,4,,,
1480,74.46,北海道札幌市豊平区平岸二条８,8.77,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1480,89.67,北海道札幌市豊平区旭町３,1.59,地下鉄東豊線「学園前」徒歩7分,3LDK,1974/7,1,0,0,7,,,
1480,52.8,北海道札幌市中央区大通西１５,7.68,札幌市電「西１５丁目」徒歩3分,2LDK,1981/10,0,1,0,3,,,
1480,77.38,北海道札幌市東区北三十五条東４-1番11,9.56,地下鉄南北線「北３４条」徒歩13分,3LDK,1997/3,1,0,0,13,,,
1480,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩1分,3LDK,1978/11,1,0,0,1,,,
1480,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩1分,3LDK,1978/11,1,0,0,1,,,
1480,78.66,北海道札幌市西区二十四軒一条５-１－２,8.15,地下鉄東西線「二十四軒」徒歩1分,3LDK,1978/11,1,0,0,1,,,
1480,65.96,北海道札幌市北区北十一条西４,9.74,地下鉄南北線「北１２条」徒歩1分,1LDK,1973/5,1,0,0,1,,,
1480,52.8,北海道札幌市中央区大通西１５,7.68,札幌市電「西１５丁目」徒歩3分,2LDK,1981/10,0,1,0,3,,,
1480,96.47,北海道札幌市厚別区厚別東三条７,17.71,ＪＲ函館本線「森林公園」徒歩14分,3LDK+S（納戸）,1992/6,0,0,1,14,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,中央バス「西岡1条3丁目」徒歩2分,4LDK,1993/10,0,0,0,2,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」バス6分停歩2分,4LDK,1993/10,1,0,0,,6,2,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」バス6分停歩2分,4LDK,1993/10,1,0,0,,6,2,
1480,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,地下鉄南北線「南平岸」徒歩20分,4LDK+S（納戸）,1993/10,1,0,0,20,,,
1480,76.82,北海道札幌市豊平区西岡二条２,10.3,中央バス「西岡1条3丁目」徒歩2分,4LDK,1993/11,0,0,0,2,,,
1480,82.8,北海道札幌市中央区南十七条西１７,16.02,札幌市電「西線１６条」徒歩6分,4LDK,1986/12,0,1,0,6,,,
1480,78.66,北海道札幌市西区二十四軒一条４,8.15,地下鉄東西線「二十四軒」徒歩1分,3LDK,1978/11,1,0,0,1,,,
1480,99.61,北海道札幌市厚別区大谷地東４,10.96,地下鉄東西線「大谷地」徒歩4分,4LDK,1986/2,1,0,0,4,,,
1485,104.28,北海道札幌市白石区北郷四条３,14.9,ＪＲ函館本線「白石」徒歩23分,4LDK,1991/10,0,0,1,23,,,
1490,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩11分,3LDK,1988/11,1,0,0,11,,,
1490,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1490,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1490,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩15分,3LDK,1988/11,1,0,0,15,,,
1490,55.05,北海道札幌市豊平区豊平一条１-1-17,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1490,84.98,北海道札幌市厚別区厚別中央三条５-7-20,8.94,地下鉄東西線「新さっぽろ」徒歩5分,4LDK,1981/11,1,0,0,5,,,
1490,69.54,北海道札幌市豊平区西岡三条１,8.08,地下鉄東豊線「月寒中央」徒歩14分,3LDK,1994/2,1,0,0,14,,,
1490,80.55,北海道札幌市西区八軒五条東３-７－３４,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/2,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３-７－３４,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３-７－３４,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,76.36,北海道札幌市豊平区月寒東四条９-6-11,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1490,87.5,北海道札幌市東区北三十五条東３,13.34,地下鉄南北線「北３４条」徒歩14分,4LDK,1996/2,1,0,0,14,,,
1490,84.98,北海道札幌市厚別区厚別中央三条５,8.94,地下鉄東西線「新さっぽろ」徒歩5分,4LDK,1981/11,1,0,0,5,,,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,72.09,北海道札幌市厚別区大谷地東４,7.62,地下鉄東西線「大谷地」徒歩1分,3LDK,1985/2,1,0,0,1,,,
1490,80.55,北海道札幌市西区八軒五条東３-７－３４,8.23,ＪＲ札沼線「八軒」徒歩3分,3LDK,1981/8,0,0,1,3,,,
1490,84.98,北海道札幌市厚別区厚別中央三条５,8.94,地下鉄東西線「新さっぽろ」徒歩5分,4LDK,1981/11,1,0,0,5,,,
1490,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1490,70.2,北海道札幌市西区山の手四条８,7.81,地下鉄東西線「西２８丁目」バス9分停歩2分,3LDK,1989/6,1,0,0,,9,2,
1490,80.55,北海道札幌市西区八軒五条東３,8.23,ＪＲ札沼線「八軒」徒歩5分,3LDK,1981/8,0,0,1,5,,,
1498,61.65,北海道札幌市中央区南九条西６,6.63,地下鉄南北線「中島公園」徒歩5分,3LDK,1982/9,1,0,0,5,,,
1498,75.28,北海道札幌市北区北二十九条西９-２－５,19.41,地下鉄南北線「北２４条」バス7分停歩1分,3LDK,1995/7,1,0,0,,7,1,
1498,61.65,北海道札幌市中央区南九条西６,6.63,地下鉄南北線「中島公園」徒歩5分,3LDK,1982/9,1,0,0,5,,,
1498,92.17,北海道札幌市南区澄川四条８,7.43,地下鉄南北線「自衛隊前」徒歩2分,3LDK+S（納戸）,1973/5,1,0,0,2,,,
1498,91.73,北海道札幌市北区新川五条３,11.24,ＪＲ札沼線「新川」徒歩5分,4LDK,1997/10,0,0,1,5,,,
1498,57.59,北海道札幌市白石区本郷通８丁目南3-1,6.15,地下鉄東西線「南郷７丁目」徒歩5分,3LDK,1986/11,1,0,0,5,,,
1500,58.56,北海道札幌市中央区南三条東２-1,6.71,地下鉄東西線「バスセンター前」徒歩5分,3LDK,1982/11,1,0,0,5,,,
1500,58.56,北海道札幌市中央区南三条東２-1,6.71,地下鉄東西線「バスセンター前」徒歩4分,3LDK,1982/11,1,0,0,4,,,
1500,81.56,北海道札幌市西区発寒十条２,13.04,ＪＲ函館本線「発寒中央」徒歩5分,1LDK,1991/9,0,0,1,5,,,
1500,61.57,北海道札幌市豊平区月寒中央通１１,6.4,地下鉄東豊線「福住」徒歩6分,2LDK,1980/6,1,0,0,6,,,
1500,58,北海道札幌市白石区南郷通１４丁目南,11.54,地下鉄東西線「南郷１３丁目」徒歩4分,2LDK,1988/3,1,0,0,4,,,
1500,75.47,北海道札幌市西区発寒十一条１,4.96,ＪＲ函館本線「発寒中央」徒歩9分,3LDK,1996/11,0,0,1,9,,,
1530,93.97,北海道札幌市中央区宮の森一条１６,21.85,地下鉄東西線「円山公園」バス13分停歩1分,4LDK,1995/10,1,0,0,,13,1,
1530,67.74,北海道札幌市東区北十六条東１,3.79,地下鉄東豊線「北１３条東」徒歩7分,3LDK,1979/10,1,0,0,7,,,
1530,82.3,北海道札幌市白石区北郷一条５,8.37,ＪＲ函館本線「白石」徒歩4分,3LDK,1995/1,0,0,1,4,,,
1530,67.74,北海道札幌市東区北十六条東１-3-25,3.79,地下鉄東豊線「北１３条東」徒歩7分,3LDK,1979/10,1,0,0,7,,,
1530,67.74,北海道札幌市東区北十六条東１,-,地下鉄東豊線「北１３条東」徒歩8分,3LDK,1979/10,1,0,0,8,,,
1540,76.08,北海道札幌市中央区北四条東２,8.44,地下鉄南北線「さっぽろ」徒歩6分,2LDK,1982/12,1,0,0,6,,,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,中央バス「琴似工業高校前」徒歩1分,4LDK,1989/11,0,0,0,1,,,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,ＪＲ函館本線「発寒中央」徒歩18分,4LDK,1989/11,0,0,1,18,,,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,地下鉄東西線「宮の沢」バス3分停歩5分,4LDK,1989/11,1,0,0,,3,5,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,ＪＲ函館本線「発寒中央」徒歩17分,4LDK,1989/11,0,0,1,17,,,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,地下鉄東西線「宮の沢」バス3分停歩5分,4LDK,1989/11,1,0,0,,3,5,
1550,92.84,北海道札幌市西区発寒十三条４-１３－７３,7.37,地下鉄東西線「宮の沢」バス3分停歩5分,4LDK,1989/11,1,0,0,,3,5,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,ＪＲ函館本線「発寒中央」徒歩17分,4LDK,1989/11,0,0,1,17,,,
1550,75.45,北海道札幌市手稲区星置一条２,15.45,ＪＲ函館本線「星置」徒歩4分,4LDK,1996/9,0,0,1,4,,,
1550,92.84,北海道札幌市西区発寒十三条４-１３－７３,7.37,ＪＲ函館本線「発寒中央」徒歩17分,4LDK,1989/11,0,0,1,17,,,
1550,51.11,北海道札幌市中央区大通西２４-１番１号,9,地下鉄東西線「円山公園」徒歩2分,2LDK,1986/10,1,0,0,2,,,
1550,92.84,北海道札幌市西区発寒十三条４,7.37,ＪＲ函館本線「発寒中央」徒歩18分,4LDK,1989/11,0,0,1,18,,,
1550,92.84,北海道札幌市西区発寒十三条４-13-73,7.37,ＪＲ函館本線「発寒中央」徒歩17分,4LDK,1989/11,0,0,1,17,,,
1570,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1570,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1570,76.36,北海道札幌市豊平区月寒東四条９-6-11,7.98,地下鉄東西線「南郷７丁目」徒歩14分,3LDK,1988/11,1,0,0,14,,,
1570,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩13分,3LDK,1988/11,1,0,0,13,,,
1570,76.36,北海道札幌市豊平区月寒東四条９,7.98,地下鉄東西線「南郷７丁目」徒歩15分,3LDK,1988/11,1,0,0,15,,,
1580,74.68,北海道札幌市豊平区平岸二条８,7.21,地下鉄南北線「平岸」徒歩2分,3LDK,1976/7,1,0,0,2,,,
1580,74.68,北海道札幌市豊平区平岸二条８,7.21,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1580,74.68,北海道札幌市豊平区平岸二条８,7.21,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1580,74.68,北海道札幌市豊平区平岸二条８-２－６,7.21,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1580,68.5,北海道札幌市中央区大通西２０,5,地下鉄東西線「西１８丁目」徒歩2分,3LDK,1981/5,1,0,0,2,,,
1580,74.68,北海道札幌市豊平区平岸二条８,7.21,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1580,83.16,北海道札幌市南区澄川二条２-１－４８,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,69,北海道札幌市白石区中央一条２,9.32,地下鉄東西線「東札幌」徒歩10分,3LDK,1989/11,1,0,0,10,,,
1580,89.04,北海道札幌市北区新琴似九条２,6.91,ＪＲ札沼線「新琴似」徒歩1分,4LDK,1983/11,0,0,1,1,,,
1580,74.68,北海道札幌市豊平区平岸二条８,7.21,地下鉄南北線「平岸」徒歩1分,3LDK,1976/7,1,0,0,1,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,69,北海道札幌市白石区中央一条２-1番1,9.32,地下鉄東西線「東札幌」徒歩10分,3LDK,1989/11,1,0,0,10,,,
1580,110.08,北海道札幌市西区山の手二条１０,-,地下鉄東西線「西２８丁目」バス9分停歩4分,3LDK+S（納戸）,1989/3,1,0,0,,9,4,
1580,63.27,北海道札幌市北区北二十三条西４,5.98,地下鉄南北線「北２４条」徒歩1分,2LDK,1974/3,1,0,0,1,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,71.71,北海道札幌市厚別区厚別中央一条１,8.34,地下鉄東西線「ひばりが丘」徒歩4分,3LDK,1990/9,1,0,0,4,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,75.75,北海道札幌市厚別区大谷地東７,15.15,地下鉄東西線「大谷地」徒歩7分,3LDK,1994/2,1,0,0,7,,,
1580,88.03,北海道札幌市白石区平和通３丁目北,17.12,ＪＲ函館本線「白石」徒歩2分,4LDK,1991/10,0,0,1,2,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩7分,4LDK,1985/11,1,0,0,7,,,
1580,76.35,北海道札幌市南区中ノ沢１,17.44,地下鉄南北線「真駒内」バス11分停歩1分,3LDK,1996/6,1,0,0,,11,1,
1580,73.06,北海道札幌市東区北十九条東３,8.59,地下鉄南北線「北１８条」徒歩12分,3LDK,1994/10,1,0,0,12,,,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1580,80.99,北海道札幌市中央区南二十三条西１２,9.36,札幌市電「中央図書館前」徒歩3分,3LDK,1990/11,0,1,0,3,,,
1580,72.29,北海道札幌市厚別区大谷地東３,13.78,地下鉄東西線「大谷地」徒歩3分,3LDK,1987/12,1,0,0,3,,,
1580,109.55,北海道札幌市南区川沿一条２-14-30,13.79,地下鉄南北線「真駒内」バス11分停歩6分,2LDK,1987/9,1,0,0,,11,6,
1580,83.16,北海道札幌市南区澄川二条２-1-48,19.91,地下鉄南北線「澄川」徒歩8分,4LDK,1985/11,1,0,0,8,,,
1580,95.15,北海道札幌市東区北二十七条東１,7.15,地下鉄南北線「北２４条」徒歩12分,4LDK,1980/11,1,0,0,12,,,
1580,83.16,北海道札幌市南区澄川二条２-1-48,19.91,地下鉄南北線「澄川」徒歩10分,4LDK,1985/11,1,0,0,10,,,
1580,154.7,北海道札幌市南区川沿一条２-14-30,21.91,地下鉄南北線「真駒内」バス11分停歩6分,4LDK,1987/9,1,0,0,,11,6,
1580,83.16,北海道札幌市南区澄川二条２,19.91,地下鉄南北線「澄川」徒歩5分,4LDK,1985/11,1,0,0,5,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ千歳線「白石」徒歩4分,2LDK,1995/1,0,0,1,4,,,
1590,52.8,北海道札幌市中央区大通西１５,7.68,地下鉄東西線「西１８丁目」徒歩5分,2LDK,1981/10,1,0,0,5,,,
1590,88.63,北海道札幌市中央区北五条西１５,7.55,ＪＲ函館本線「桑園」徒歩9分,2LDK,1978/9,0,0,1,9,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩4分,2LDK,1995/1,0,0,1,4,,,
1590,78.07,北海道札幌市厚別区厚別北二条５-２－４,2.53,ＪＲ函館本線「森林公園」徒歩6分,3LDK,1986/11,0,0,1,6,,,
1590,78.07,北海道札幌市厚別区厚別北二条５-2-4,2.53,ＪＲ函館本線「森林公園」徒歩6分,3LDK,1986/11,0,0,1,6,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,80.17,北海道札幌市厚別区厚別西二条５,6.36,中央バス「厚別西3条5丁目」徒歩1分,3LDK,1991/5,0,0,0,1,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,80.17,北海道札幌市厚別区厚別西二条５,6.36,ＪＲ函館本線「厚別」徒歩14分,3LDK,1991/5,0,0,1,14,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩4分,2LDK,1995/1,0,0,1,4,,,
1590,78.07,北海道札幌市厚別区厚別北二条５,2.53,ＪＲ函館本線「森林公園」徒歩6分,3LDK,1986/11,0,0,1,6,,,
1590,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1590,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1590,71.06,北海道札幌市東区北四十四条東１４,6.52,地下鉄東豊線「栄町」徒歩7分,3LDK,1993/3,1,0,0,7,,,
1590,74.6,北海道札幌市北区北二十四条西１２,8.92,地下鉄南北線「北２４条」徒歩12分,2LDK,1991/11,1,0,0,12,,,
1590,61.05,北海道札幌市白石区北郷一条５-１－３０,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1590,78.07,北海道札幌市厚別区厚別北二条５,2.53,ＪＲ函館本線「森林公園」徒歩6分,3LDK,1986/11,0,0,1,6,,,
1590,52.8,北海道札幌市中央区大通西１５,7.68,地下鉄東西線「西１８丁目」徒歩3分,2LDK,1981/10,1,0,0,3,,,
1590,81.23,北海道札幌市厚別区厚別北二条４,13.95,ＪＲ函館本線「森林公園」徒歩3分,3LDK,1990/11,0,0,1,3,,,
1590,61.05,北海道札幌市白石区北郷一条５,8.97,ＪＲ函館本線「白石」徒歩3分,2LDK,1995/1,0,0,1,3,,,
1590,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1590,78.07,北海道札幌市厚別区厚別北二条５,2.53,ＪＲ函館本線「森林公園」徒歩6分,3LDK,1986/11,0,0,1,6,,,
1590,78.66,北海道札幌市西区二十四軒一条５-１－２,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1590,78.66,北海道札幌市西区二十四軒一条５,8.15,地下鉄東西線「二十四軒」徒歩2分,2LDK,1978/11,1,0,0,2,,,
1598,82.05,北海道札幌市西区琴似一条２-５－６,8.12,ＪＲ函館本線「琴似」徒歩3分,2LDK,1983/12,0,0,1,3,,,
1598,109.06,北海道札幌市北区百合が原７,12.54,ＪＲ札沼線「百合が原」徒歩6分,5LDK,1998/2,0,0,1,6,,,
1598,77.86,北海道札幌市豊平区月寒西二条１０-1番2－713号,8.2,地下鉄東豊線「月寒中央」徒歩10分,3LDK+S（納戸）,1992/7,1,0,0,10,,,
1598,69.15,北海道札幌市中央区南五条西２５-2-32,7,地下鉄東西線「円山公園」徒歩9分,3LDK,1984/10,1,0,0,9,,,
1598,73.22,北海道札幌市中央区南五条西２５-２－３２,7,地下鉄東西線「円山公園」徒歩9分,3LDK,1984/11,1,0,0,9,,,
1598,73.22,北海道札幌市中央区南五条西２５,7,地下鉄東西線「円山公園」徒歩8分,3LDK,1984/11,1,0,0,8,,,
1598,109.06,北海道札幌市北区百合が原７,12.54,ＪＲ札沼線「百合が原」徒歩6分,5LDK,1998/2,0,0,1,6,,,
1598,73.22,北海道札幌市中央区南五条西２５,7,地下鉄東西線「円山公園」徒歩9分,3LDK,1984/10,1,0,0,9,,,
1600,77.55,北海道札幌市北区北十八条西３-１,5.2,地下鉄南北線「北１８条」徒歩2分,3LDK,1994/11,1,0,0,2,,,
1620,52.67,北海道札幌市西区琴似一条２,8.05,ＪＲ函館本線「琴似」徒歩5分,2LDK,1983/12,0,0,1,5,,,
1620,52.67,北海道札幌市西区琴似一条２,8.05,地下鉄東西線「琴似」徒歩5分,2LDK,1983/12,1,0,0,5,,,
1620,52.67,北海道札幌市西区琴似一条２-5-6,8.05,地下鉄東西線「琴似」徒歩6分,2LDK,1983/12,1,0,0,6,,,
1620,52.67,北海道札幌市西区琴似一条２,8.05,ＪＲ函館本線「琴似」徒歩5分,2LDK,1984/3,0,0,1,5,,,
1620,52.67,北海道札幌市西区琴似一条２,8.05,ＪＲ函館本線「琴似」徒歩3分,2LDK,1983/12,0,0,1,3,,,
1620,52.67,北海道札幌市西区琴似一条２-5-6,8.05,ＪＲ函館本線「琴似」徒歩5分,2LDK,1983/12,0,0,1,5,,,
1620,52.67,北海道札幌市西区琴似一条２-５－６,8.05,地下鉄東西線「琴似」徒歩5分,2LDK,1993/12,1,0,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７-２－１０,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1648,82.8,北海道札幌市中央区南十七条西１７,4.41,札幌市電「西線１６条」徒歩5分,4LDK,1986/11,0,1,0,5,,,
1650,71.06,北海道札幌市東区北四十四条東１４,6.52,地下鉄東豊線「栄町」徒歩7分,3LDK,1993/3,1,0,0,7,,,
1650,71.06,北海道札幌市東区北四十四条東１４-２ー１５,6.52,地下鉄東豊線「栄町」徒歩6分,3LDK,1993/3,1,0,0,6,,,
