価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
2880,89.32,北海道札幌市中央区大通西２６,6.35,地下鉄東西線「円山公園」徒歩1分,3LDK,1984/11,1,0,0,1,,,
2980,81,北海道札幌市中央区北一条西１３,18.07,地下鉄東西線「西１１丁目」徒歩6分,1LDK+S（納戸）,2002/10,1,0,0,6,,,
2980,100.09,北海道札幌市中央区南十九条西１２,23.92,札幌市電「ロープウェイ入口」徒歩5分,4LDK,2003/1,0,1,0,5,,,
3050,87.42,北海道札幌市中央区北四条西２４,20.69,地下鉄東西線「西２８丁目」徒歩5分,3LDK,2006/1,1,0,0,5,,,
3098,82.92,北海道札幌市西区発寒五条８,27.32,地下鉄東西線「宮の沢」徒歩9分,3LDK,2016/7,1,0,0,9,,,
3180,120.22,北海道札幌市中央区南十六条西１９,8.1,札幌市電「西線１６条」徒歩8分,4LDK,2003/8,0,1,0,8,,,
3180,79.79,北海道札幌市豊平区平岸四条７,23.22,地下鉄南北線「平岸」徒歩4分,3LDK,2017/2,1,0,0,4,,,
3200,99.93,北海道札幌市東区北四十一条東１２,21.65,地下鉄東豊線「栄町」徒歩5分,4LDK,2014/3,1,0,0,5,,,
3260,130.61,北海道札幌市中央区南十四条西１８,40.16,札幌市電「西線１４条」徒歩8分,3LDK,2003/3,0,1,0,8,,,
3480,96.56,北海道札幌市豊平区平岸三条１７丁目3-50,18.49,地下鉄南北線「澄川」徒歩7分,4LDK+S（納戸）,2015/2,1,0,0,7,,,
3980,112.5,北海道札幌市中央区北六条西１０,46.36,ＪＲ函館本線「札幌」徒歩11分,4LDK,2005/9,0,0,1,11,,,
3980,98.63,北海道札幌市中央区北十条西１５,25.25,ＪＲ函館本線「桑園」徒歩1分,4LDK,2013/1,0,0,1,1,,,
4350,119.85,北海道札幌市中央区南七条西１,20.38,地下鉄東豊線「豊水すすきの」徒歩1分,3LDK,2005/2,1,0,0,1,,,
4498,97.61,北海道札幌市中央区南七条東１,23.24,地下鉄東豊線「豊水すすきの」徒歩3分,4LDK,2015/10,1,0,0,3,,,
4850,68.67,北海道札幌市東区北七条東１,10.8,ＪＲ函館本線「札幌」徒歩5分,2LDK,2015/7,0,0,1,5,,,
5100,94.02,北海道札幌市中央区南十五条西１,15.03,地下鉄南北線「幌平橋」徒歩1分,4LDK,2009/8,1,0,0,1,,,
6780,94.92,北海道札幌市中央区大通東２,6.02,地下鉄東西線「バスセンター前」徒歩2分,4LDK,2007/4,1,0,0,2,,,
100,46.05,北海道札幌市南区石山東７,3.94,地下鉄南北線「真駒内」バス11分停歩1分,1LDK,1990/8,1,0,0,,11,1,
117,13.79,北海道札幌市中央区南十一条西２３,-,札幌市電「西線１１条」徒歩14分,ワンルーム,1973/8,0,1,0,14,,,
128,34.11,北海道札幌市北区新琴似八条１５-4-11,-,地下鉄南北線「麻生」バス20分停歩1分,1DK,1972/10,1,0,0,,20,1,
140,21.12,北海道札幌市豊平区平岸四条８-６－１,3.6,地下鉄南北線「平岸」徒歩8分,1DK,1979/4,1,0,0,8,,,
150,48.6,北海道札幌市南区石山東７,4.8,中央バス「石山東6丁目」徒歩1分,2LDK,1990/8,0,0,0,1,,,
150,23.59,北海道札幌市豊平区中の島二条８,-,地下鉄南北線「中の島」バス4分停歩2分,ワンルーム,1990/1,1,0,0,,4,2,
170,45.5,北海道札幌市南区真駒内曙町１,-,地下鉄南北線「真駒内」バス8分停歩5分,1LDK,1969/6,1,0,0,,8,5,
180,23.4,北海道札幌市豊平区中の島二条２,3.04,地下鉄南北線「中の島」徒歩3分,1K,1978/,1,0,0,3,,,
180,36.45,北海道札幌市豊平区平岸五条１２-2-4,-,地下鉄南北線「南平岸」徒歩8分,1LDK,1976/3,1,0,0,8,,,
198,19.88,北海道札幌市中央区南十一条西１,-,地下鉄南北線「中島公園」徒歩5分,1DK,1973/10,1,0,0,5,,,
200,16.2,北海道札幌市中央区南六条西９,-,地下鉄南北線「すすきの」徒歩10分,ワンルーム,1974/11,1,0,0,10,,,
200,17.38,北海道札幌市中央区南四条西１０,-,地下鉄東西線「西１１丁目」徒歩7分,ワンルーム,1974/2,1,0,0,7,,,
200,40.5,北海道札幌市南区石山東７,4.5,中央バス「石山東6丁目」徒歩1分,1LDK,1990/8,0,0,0,1,,,
212,28.28,北海道札幌市南区定山渓温泉西１,3.6,地下鉄南北線「真駒内」バス40分停歩7分,ワンルーム,1992/9,1,0,0,,40,7,
220,18.69,北海道札幌市豊平区平岸四条１４,2.85,地下鉄南北線「南平岸」徒歩3分,1DK,1978/10,1,0,0,3,,,
230,18.69,北海道札幌市豊平区平岸四条１４,2.77,地下鉄南北線「南平岸」徒歩4分,1DK,1978/10,1,0,0,4,,,
230,18.69,北海道札幌市豊平区平岸四条１４,2.85,地下鉄南北線「南平岸」徒歩5分,1DK,1978/,1,0,0,5,,,
238,69.05,北海道札幌市南区真駒内柏丘１-７－３,-,地下鉄南北線「真駒内」徒歩15分,4DK,1972/4,1,0,0,15,,,
238,24.67,北海道札幌市豊平区平岸三条８,0.89,地下鉄南北線「平岸」徒歩1分,1K,1974/3,1,0,0,1,,,
250,50.24,北海道札幌市南区澄川五条１３,-,地下鉄南北線「真駒内」バス8分停歩5分,2DK,1977/3,1,0,0,,8,5,
250,29.68,北海道札幌市東区北十六条東１-3-25,1.8,地下鉄東豊線「北１３条東」徒歩8分,1K,1979/10,1,0,0,8,,,
250,17.38,北海道札幌市中央区南四条西１０,-,地下鉄東西線「西１１丁目」徒歩5分,ワンルーム,1973/,1,0,0,5,,,
250,50.24,北海道札幌市南区澄川五条１３,4.53,地下鉄南北線「自衛隊前」バス10分停歩5分,2LDK,1977/3,1,0,0,,10,5,
270,30.29,北海道札幌市豊平区旭町６,-,地下鉄東豊線「学園前」徒歩9分,1DK,1974/11,1,0,0,9,,,
280,27.94,北海道札幌市中央区南十一条西１,2.34,地下鉄南北線「中島公園」徒歩4分,ワンルーム,1981/1,1,0,0,4,,,
280,27.6,北海道札幌市西区発寒四条６,3,地下鉄東西線「発寒南」徒歩7分,1DK,1990/10,1,0,0,7,,,
280,18.42,北海道札幌市中央区大通西２２-１－１０,2.98,地下鉄東西線「円山公園」徒歩4分,ワンルーム,1979/10,1,0,0,4,,,
280,18.42,北海道札幌市中央区大通西２２,2.98,地下鉄東西線「円山公園」徒歩4分,ワンルーム,1979/10,1,0,0,4,,,
280,48.6,北海道札幌市南区石山東７,4.86,地下鉄南北線「真駒内」バス11分停歩1分,2LDK,1990/8,1,0,0,,11,1,
290,20.3,北海道札幌市中央区南二条西１３,3.36,地下鉄東西線「西１１丁目」徒歩5分,ワンルーム,1980/9,1,0,0,5,,,
290,38.96,北海道札幌市中央区南十二条西１５-4-25,6.95,札幌市電「西線１１条」徒歩3分,1LDK,1981/11,0,1,0,3,,,
